City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,javea,38.7833,0.1667,290.34,85,63,0.89,ES,1682564521
213,al qusayr,34.5091,36.5798,285.39,77,100,0.66,SY,1682564523
214,kerikeri,-35.2268,173.9474,293.66,62,98,0.45,NZ,1682564526
215,lagoa,39.05,-27.9833,289.4,75,69,9.33,PT,1682564528
216,namsos,64.4662,11.4957,275.18,93,100,1.03,NO,1682564531
217,katsuren-haebaru,26.3369,127.8719,297.36,62,40,5.14,JP,1682564534
218,giannouli,39.6667,22.3833,281.03,100,20,0.0,GR,1682564536
219,murici,-9.3067,-35.9433,297.31,95,54,0.73,BR,1682564539
220,walvis bay,-22.9575,14.5053,288.76,83,39,2.21,NA,1682564542
221,vila franca do campo,37.7167,-25.4333,290.38,91,15,5.73,PT,1682564544
222,papatowai,-46.5619,169.4708,288.5,77,64,3.32,NZ,1682564547
223,heroica guaymas,27.9333,-110.9,296.97,49,0,2.07,MX,1682564495
224,inongo,-1.95,18.2667,294.73,91,100,1.39,CD,1682564552
225,alaghsas,17.0187,8.0168,302.6,10,100,4.22,NE,1682564555
226,penzance,50.1186,-5.5371,283.53,89,100,5.47,GB,1682564557
227,sterling,39.0062,-77.4286,286.18,81,80,1.34,US,1682564498
228,springs,-26.25,28.4,289.08,94,0,2.81,ZA,1682564559
229,wuhai,39.6647,106.8122,286.96,19,100,10.04,CN,1682564561
230,port mathurin,-19.6833,63.4167,299.14,80,16,5.42,MU,1682564562
231,belozersk,60.0326,37.7957,279.39,99,100,2.11,RU,1682564563
232,labytnangi,66.6572,66.4183,265.5,90,95,2.91,RU,1682564564
233,obninsk,55.0969,36.6103,283.09,84,98,2.04,RU,1682564566
234,port alfred,-33.5906,26.891,294.5,63,92,4.73,ZA,1682564567
235,beaufort west,-32.3567,22.583,292.95,40,100,4.09,ZA,1682564568
236,phan rang-thap cham,11.5667,108.9833,306.05,51,95,6.14,VN,1682564570
237,yalutorovsk,56.6536,66.3006,289.67,46,100,5.48,RU,1682564571
238,pochep,52.9336,33.4464,283.62,94,100,2.31,RU,1682564572
239,yichun,47.7,128.9,285.17,29,95,0.83,CN,1682564573
240,chonchi,-42.6128,-73.8092,281.71,97,100,0.46,CL,1682564550
241,grand falls-windsor,48.9332,-55.6649,273.99,91,13,0.89,CA,1682564575
242,ozark,37.0209,-93.206,289.38,55,100,3.42,US,1682564384
243,shiguai,40.7058,110.2856,284.98,21,100,4.6,CN,1682564578
